consult_id,difficulty,channel,resolved
S00772,단순,챗봇,False
S01420,복잡,상담원,False
S01042,복잡,챗봇,False
S01790,복잡,상담원,False
S00760,단순,챗봇,True
S00383,단순,챗봇,True
S01104,복잡,상담원,False
S00974,단순,상담원,True
S00353,단순,챗봇,True
S01606,복잡,상담원,True
S01826,복잡,상담원,False
S01037,복잡,챗봇,False
S01108,복잡,상담원,False
S00495,단순,챗봇,True
S00394,단순,챗봇,True
S01547,복잡,상담원,False
S00465,단순,챗봇,True
S00887,단순,챗봇,True
S01194,복잡,상담원,True
S00367,단순,챗봇,True
S01894,복잡,상담원,False
S01874,복잡,상담원,True
S00745,단순,챗봇,True
S00530,단순,챗봇,True
S00803,단순,챗봇,True
S01224,복잡,상담원,True
S01979,복잡,상담원,False
S01906,복잡,상담원,False
S01700,복잡,상담원,True
S01545,복잡,상담원,False
S01314,복잡,상담원,True
S00307,단순,챗봇,True
S01667,복잡,상담원,False
S00863,단순,챗봇,True
S01567,복잡,상담원,False
S00531,단순,챗봇,False
S00655,단순,챗봇,True
S01260,복잡,상담원,False
S00234,단순,챗봇,True
S00121,단순,챗봇,True
S01698,복잡,상담원,True
S00950,단순,상담원,True
S00618,단순,챗봇,True
S01179,복잡,상담원,False
S00308,단순,챗봇,False
S00136,단순,챗봇,True
S00555,단순,챗봇,True
S01674,복잡,상담원,False
S00584,단순,챗봇,True
S01641,복잡,상담원,False
S00671,단순,챗봇,True
S00835,단순,챗봇,True
S00110,단순,챗봇,True
S01165,복잡,상담원,True
S01960,복잡,상담원,True
S01465,복잡,상담원,False
S01729,복잡,상담원,False
S01243,복잡,상담원,True
S00212,단순,챗봇,False
S01768,복잡,상담원,True
S01121,복잡,상담원,False
S00680,단순,챗봇,True
S01951,복잡,상담원,True
S01839,복잡,상담원,False
S00412,단순,챗봇,True
S01325,복잡,상담원,False
S00783,단순,챗봇,True
S01346,복잡,상담원,True
S00875,단순,챗봇,True
S01653,복잡,상담원,False
S01279,복잡,상담원,True
S00786,단순,챗봇,True
S01819,복잡,상담원,False
S01199,복잡,상담원,False
S00808,단순,챗봇,True
S00713,단순,챗봇,True
S01991,복잡,상담원,False
S01660,복잡,상담원,False
S01191,복잡,상담원,False
S01226,복잡,상담원,True
S00603,단순,챗봇,True
S00271,단순,챗봇,True
S01385,복잡,상담원,False
S00232,단순,챗봇,True
S00050,단순,챗봇,True
S00463,단순,챗봇,True
S01106,복잡,상담원,False
S00856,단순,챗봇,False
S00694,단순,챗봇,True
S01552,복잡,상담원,False
S01873,복잡,상담원,False
S00527,단순,챗봇,True
S00174,단순,챗봇,True
S00721,단순,챗봇,True
S00415,단순,챗봇,True
S00238,단순,챗봇,True
S01473,복잡,상담원,False
S01336,복잡,상담원,False
S01064,복잡,챗봇,False
S00024,단순,챗봇,False
S01767,복잡,상담원,False
S00064,단순,챗봇,True
S00290,단순,챗봇,True
S00189,단순,챗봇,True
S00702,단순,챗봇,True
S01815,복잡,상담원,True
S01138,복잡,상담원,False
S00355,단순,챗봇,True
S00417,단순,챗봇,True
S01246,복잡,상담원,True
S00931,단순,상담원,True
S00197,단순,챗봇,True
S00580,단순,챗봇,True
S01135,복잡,상담원,False
S01814,복잡,상담원,False
S01935,복잡,상담원,False
S00434,단순,챗봇,True
S00101,단순,챗봇,True
S01655,복잡,상담원,True
S00395,단순,챗봇,True
S01939,복잡,상담원,False
S00221,단순,챗봇,True
S01676,복잡,상담원,True
S01498,복잡,상담원,False
S01785,복잡,상담원,True
S00345,단순,챗봇,True
S01028,복잡,챗봇,False
S00889,단순,챗봇,True
S01351,복잡,상담원,False
S00553,단순,챗봇,True
S00744,단순,챗봇,True
S01542,복잡,상담원,False
S00539,단순,챗봇,True
S00907,단순,상담원,True
S01395,복잡,상담원,True
S00116,단순,챗봇,False
S00830,단순,챗봇,True
S01938,복잡,상담원,False
S00809,단순,챗봇,True
S01311,복잡,상담원,False
S01005,복잡,챗봇,False
S00306,단순,챗봇,True
S01101,복잡,상담원,True
S00480,단순,챗봇,False
S01424,복잡,상담원,False
S01076,복잡,챗봇,True
S00571,단순,챗봇,True
S00619,단순,챗봇,True
S01898,복잡,상담원,False
S01266,복잡,상담원,False
S00079,단순,챗봇,True
S01912,복잡,상담원,True
S00033,단순,챗봇,True
S01538,복잡,상담원,False
S01034,복잡,챗봇,False
S01563,복잡,상담원,False
S00352,단순,챗봇,True
S00164,단순,챗봇,False
S00204,단순,챗봇,True
S01054,복잡,챗봇,False
S01365,복잡,상담원,False
S01967,복잡,상담원,False
S00496,단순,챗봇,True
S01625,복잡,상담원,False
S01966,복잡,상담원,True
S01963,복잡,상담원,False
S00611,단순,챗봇,True
S00433,단순,챗봇,True
S01492,복잡,상담원,True
S00219,단순,챗봇,True
S01931,복잡,상담원,False
S01466,복잡,상담원,False
S00631,단순,챗봇,True
S01382,복잡,상담원,True
S01302,복잡,상담원,False
S00060,단순,챗봇,True
S00299,단순,챗봇,True
S01711,복잡,상담원,True
S00074,단순,챗봇,True
S00163,단순,챗봇,True
S01275,복잡,상담원,False
S01594,복잡,상담원,False
S01434,복잡,상담원,True
S01613,복잡,상담원,False
S00592,단순,챗봇,True
S00317,단순,챗봇,True
S00046,단순,챗봇,True
S01720,복잡,상담원,False
S01832,복잡,상담원,False
S00428,단순,챗봇,True
S00582,단순,챗봇,True
S00077,단순,챗봇,True
S01917,복잡,상담원,False
S01415,복잡,상담원,False
S00781,단순,챗봇,True
S01920,복잡,상담원,True
S01174,복잡,상담원,True
S01320,복잡,상담원,True
S00938,단순,상담원,True
S00031,단순,챗봇,True
S01092,복잡,챗봇,False
S01616,복잡,상담원,True
S01230,복잡,상담원,False
S00975,단순,상담원,True
S01085,복잡,챗봇,True
S00515,단순,챗봇,True
S01551,복잡,상담원,False
S01568,복잡,상담원,True
S01811,복잡,상담원,False
S01574,복잡,상담원,False
S00045,단순,챗봇,True
S01687,복잡,상담원,True
S00169,단순,챗봇,True
S00304,단순,챗봇,True
S00991,단순,상담원,True
S00556,단순,챗봇,True
S01925,복잡,상담원,True
S00608,단순,챗봇,True
S01619,복잡,상담원,True
S00758,단순,챗봇,True
S00439,단순,챗봇,True
S00583,단순,챗봇,False
S01519,복잡,상담원,True
S00528,단순,챗봇,True
S00343,단순,챗봇,True
S01737,복잡,상담원,False
S00368,단순,챗봇,True
S00186,단순,챗봇,True
S01117,복잡,상담원,False
S01755,복잡,상담원,True
S01426,복잡,상담원,False
S00301,단순,챗봇,True
S01904,복잡,상담원,False
S00833,단순,챗봇,True
S00544,단순,챗봇,True
S01601,복잡,상담원,False
S00351,단순,챗봇,True
S01933,복잡,상담원,False
S01511,복잡,상담원,True
S00979,단순,상담원,True
S00176,단순,챗봇,True
S00483,단순,챗봇,True
S01413,복잡,상담원,False
S01611,복잡,상담원,False
S00124,단순,챗봇,False
S00600,단순,챗봇,True
S01795,복잡,상담원,False
S01746,복잡,상담원,True
S01379,복잡,상담원,True
S01186,복잡,상담원,False
S00486,단순,챗봇,True
S00332,단순,챗봇,True
S00789,단순,챗봇,False
S00195,단순,챗봇,True
S00638,단순,챗봇,True
S00472,단순,챗봇,True
S01714,복잡,상담원,False
S00323,단순,챗봇,True
S01197,복잡,상담원,True
S00267,단순,챗봇,True
S01544,복잡,상담원,True
S01804,복잡,상담원,False
S00068,단순,챗봇,True
S01738,복잡,상담원,True
S01593,복잡,상담원,False
S01564,복잡,상담원,True
S00481,단순,챗봇,True
S01757,복잡,상담원,True
S01913,복잡,상담원,True
S01441,복잡,상담원,True
S01461,복잡,상담원,False
S00888,단순,챗봇,True
S00423,단순,챗봇,True
S01675,복잡,상담원,False
S01450,복잡,상담원,False
S00765,단순,챗봇,False
S00520,단순,챗봇,True
S01432,복잡,상담원,True
S00614,단순,챗봇,True
S01531,복잡,상담원,False
S01783,복잡,상담원,False
S01659,복잡,상담원,False
S00454,단순,챗봇,True
S00731,단순,챗봇,True
S00535,단순,챗봇,True
S00966,단순,상담원,True
S01285,복잡,상담원,True
S01740,복잡,상담원,False
S00262,단순,챗봇,True
S00536,단순,챗봇,True
S00969,단순,상담원,True
S00241,단순,챗봇,True
S00820,단순,챗봇,False
S00693,단순,챗봇,True
S00421,단순,챗봇,True
S01086,복잡,챗봇,False
S01999,복잡,상담원,True
S00366,단순,챗봇,True
S01023,복잡,챗봇,True
S01241,복잡,상담원,True
S00589,단순,챗봇,True
S00737,단순,챗봇,True
S01762,복잡,상담원,False
S00942,단순,상담원,True
S00072,단순,챗봇,True
S01408,복잡,상담원,False
S00260,단순,챗봇,True
S00052,단순,챗봇,True
S00199,단순,챗봇,True
S01789,복잡,상담원,True
S00651,단순,챗봇,True
S00333,단순,챗봇,True
S01360,복잡,상담원,True
S00594,단순,챗봇,True
S01392,복잡,상담원,False
S01801,복잡,상담원,True
S01315,복잡,상담원,True
S01112,복잡,상담원,True
S01007,복잡,챗봇,True
S01327,복잡,상담원,True
S00427,단순,챗봇,True
S01559,복잡,상담원,True
S01294,복잡,상담원,False
S00591,단순,챗봇,True
S01958,복잡,상담원,True
S01977,복잡,상담원,True
S01133,복잡,상담원,False
S00986,단순,상담원,True
S00399,단순,챗봇,True
S01512,복잡,상담원,False
S00437,단순,챗봇,True
S00193,단순,챗봇,True
S01436,복잡,상담원,True
S00615,단순,챗봇,True
S01494,복잡,상담원,False
S00577,단순,챗봇,True
S00987,단순,상담원,True
S01433,복잡,상담원,False
S00707,단순,챗봇,True
S01259,복잡,상담원,True
S00142,단순,챗봇,True
S01358,복잡,상담원,False
S00003,단순,챗봇,True
S01222,복잡,상담원,False
S01870,복잡,상담원,False
S01623,복잡,상담원,True
S00340,단순,챗봇,True
S01770,복잡,상담원,False
S01537,복잡,상담원,False
S00484,단순,챗봇,True
S00266,단순,챗봇,True
S00377,단순,챗봇,True
S00742,단순,챗봇,False
S01014,복잡,챗봇,True
S00440,단순,챗봇,True
S00272,단순,챗봇,False
S00185,단순,챗봇,False
S00940,단순,상담원,True
S00245,단순,챗봇,True
S00932,단순,상담원,True
S00446,단순,챗봇,True
S00597,단순,챗봇,False
S00818,단순,챗봇,False
S01273,복잡,상담원,False
S01677,복잡,상담원,False
S00487,단순,챗봇,True
S00681,단순,챗봇,True
S00416,단순,챗봇,True
S00274,단순,챗봇,True
S01472,복잡,상담원,False
S01830,복잡,상담원,True
S01455,복잡,상담원,True
S00251,단순,챗봇,True
S00414,단순,챗봇,True
S01386,복잡,상담원,False
S01308,복잡,상담원,False
S00716,단순,챗봇,False
S00311,단순,챗봇,True
S00927,단순,상담원,True
S00382,단순,챗봇,True
S01566,복잡,상담원,False
S00426,단순,챗봇,True
S01875,복잡,상담원,True
S00533,단순,챗봇,True
S00753,단순,챗봇,True
S00766,단순,챗봇,True
S01357,복잡,상담원,False
S00409,단순,챗봇,True
S01615,복잡,상담원,False
S00695,단순,챗봇,False
S01739,복잡,상담원,True
S00549,단순,챗봇,True
S00937,단순,상담원,True
S01390,복잡,상담원,False
S01608,복잡,상담원,False
S01940,복잡,상담원,True
S01482,복잡,상담원,True
S00183,단순,챗봇,True
S01941,복잡,상담원,False
S01161,복잡,상담원,False
S00171,단순,챗봇,False
S00293,단순,챗봇,True
S00562,단순,챗봇,True
S01457,복잡,상담원,True
S01877,복잡,상담원,True
S01652,복잡,상담원,False
S00850,단순,챗봇,True
S00273,단순,챗봇,True
S01550,복잡,상담원,True
S01035,복잡,챗봇,True
S01744,복잡,상담원,False
S00372,단순,챗봇,True
S01670,복잡,상담원,True
S00722,단순,챗봇,True
S00734,단순,챗봇,True
S00778,단순,챗봇,True
S00519,단순,챗봇,False
S00335,단순,챗봇,True
S00846,단순,챗봇,True
S01252,복잡,상담원,False
S01053,복잡,챗봇,True
S01924,복잡,상담원,False
S00016,단순,챗봇,True
S00708,단순,챗봇,True
S00901,단순,상담원,True
S01980,복잡,상담원,True
S01573,복잡,상담원,False
S00904,단순,상담원,True
S00466,단순,챗봇,False
S01978,복잡,상담원,True
S00200,단순,챗봇,True
S01207,복잡,상담원,True
S01056,복잡,챗봇,False
S01132,복잡,상담원,False
S01380,복잡,상담원,False
S00999,단순,상담원,False
S00728,단순,챗봇,True
S01772,복잡,상담원,False
S01910,복잡,상담원,False
S01822,복잡,상담원,False
S00568,단순,챗봇,True
S00044,단순,챗봇,True
S00275,단순,챗봇,True
S01097,복잡,챗봇,True
S00102,단순,챗봇,True
S01232,복잡,상담원,True
S01722,복잡,상담원,True
S01833,복잡,상담원,True
S00108,단순,챗봇,True
S01618,복잡,상담원,False
S00498,단순,챗봇,True
S01981,복잡,상담원,False
S00882,단순,챗봇,True
S00757,단순,챗봇,True
S00620,단순,챗봇,True
S01107,복잡,상담원,False
S01936,복잡,상담원,False
S00810,단순,챗봇,True
S01038,복잡,챗봇,True
S00073,단순,챗봇,True
S01284,복잡,상담원,True
S01272,복잡,상담원,False
S01335,복잡,상담원,False
S01459,복잡,상담원,True
S00482,단순,챗봇,True
S01069,복잡,챗봇,False
S00507,단순,챗봇,True
S01238,복잡,상담원,False
S01862,복잡,상담원,False
S01990,복잡,상담원,True
S01477,복잡,상담원,False
S01867,복잡,상담원,True
S01456,복잡,상담원,False
S00312,단순,챗봇,True
S00963,단순,상담원,True
S00406,단순,챗봇,False
S01331,복잡,상담원,True
S01650,복잡,상담원,False
S00310,단순,챗봇,True
S00227,단순,챗봇,True
S01858,복잡,상담원,True
S00711,단순,챗봇,True
S01944,복잡,상담원,True
S01384,복잡,상담원,True
S01786,복잡,상담원,True
S00149,단순,챗봇,True
S01555,복잡,상담원,True
S01957,복잡,상담원,True
S00926,단순,상담원,True
S00943,단순,상담원,True
S00837,단순,챗봇,True
S00576,단순,챗봇,True
S00558,단순,챗봇,True
S01236,복잡,상담원,False
S01361,복잡,상담원,False
S01348,복잡,상담원,False
S01162,복잡,상담원,True
S01443,복잡,상담원,False
S00287,단순,챗봇,False
S01605,복잡,상담원,False
S01058,복잡,챗봇,True
S00599,단순,챗봇,True
S00933,단순,상담원,True
S01462,복잡,상담원,False
S01638,복잡,상담원,False
S01588,복잡,상담원,False
S01041,복잡,챗봇,False
S01231,복잡,상담원,True
S00807,단순,챗봇,True
S00905,단순,상담원,True
S01680,복잡,상담원,False
S01205,복잡,상담원,False
S00768,단순,챗봇,False
S00610,단순,챗봇,True
S01993,복잡,상담원,True
S01565,복잡,상담원,True
S01423,복잡,상담원,True
S01011,복잡,챗봇,True
S00494,단순,챗봇,True
S01321,복잡,상담원,False
S00278,단순,챗봇,True
S01847,복잡,상담원,False
S00359,단순,챗봇,True
S01111,복잡,상담원,True
S00237,단순,챗봇,True
S00552,단순,챗봇,True
S01868,복잡,상담원,True
S01813,복잡,상담원,False
S00209,단순,챗봇,True
S01387,복잡,상담원,False
S01561,복잡,상담원,False
S00059,단순,챗봇,True
S00632,단순,챗봇,True
S01962,복잡,상담원,False
S01860,복잡,상담원,True
S01817,복잡,상담원,True
S00364,단순,챗봇,True
S00506,단순,챗봇,False
S01166,복잡,상담원,False
S01122,복잡,상담원,True
S01630,복잡,상담원,True
S01217,복잡,상담원,False
S01152,복잡,상담원,False
S01125,복잡,상담원,False
S01595,복잡,상담원,True
S00119,단순,챗봇,True
S01250,복잡,상담원,False
S01994,복잡,상담원,False
S00523,단순,챗봇,True
S00514,단순,챗봇,False
S00082,단순,챗봇,True
S00916,단순,상담원,True
S01019,복잡,챗봇,False
S00381,단순,챗봇,True
S01030,복잡,챗봇,False
S01689,복잡,상담원,False
S00085,단순,챗봇,True
S01678,복잡,상담원,True
S00330,단순,챗봇,True
S00007,단순,챗봇,True
S00746,단순,챗봇,True
S01554,복잡,상담원,True
S00915,단순,상담원,True
S00874,단순,챗봇,True
S00452,단순,챗봇,True
S00491,단순,챗봇,True
S01481,복잡,상담원,False
S00288,단순,챗봇,True
S00949,단순,상담원,True
S01986,복잡,상담원,False
S01369,복잡,상담원,True
S01147,복잡,상담원,False
S00706,단순,챗봇,True
S01727,복잡,상담원,True
S01702,복잡,상담원,True
S01629,복잡,상담원,True
S01600,복잡,상담원,False
S01539,복잡,상담원,False
S01406,복잡,상담원,False
S01651,복잡,상담원,False
S00328,단순,챗봇,True
S00443,단순,챗봇,True
S00775,단순,챗봇,True
S01088,복잡,챗봇,False
S01221,복잡,상담원,False
S01636,복잡,상담원,False
S00178,단순,챗봇,True
S01323,복잡,상담원,True
S00705,단순,챗봇,True
S00087,단순,챗봇,True
S01884,복잡,상담원,True
S01948,복잡,상담원,False
S00458,단순,챗봇,False
S01829,복잡,상담원,False
S00055,단순,챗봇,True
S01502,복잡,상담원,True
S00644,단순,챗봇,True
S00678,단순,챗봇,True
S00222,단순,챗봇,True
S00114,단순,챗봇,True
S00983,단순,상담원,True
S01229,복잡,상담원,True
S01000,단순,상담원,True
S00175,단순,챗봇,True
S00782,단순,챗봇,True
S00590,단순,챗봇,True
S01560,복잡,상담원,True
S00019,단순,챗봇,True
S00424,단순,챗봇,True
S01344,복잡,상담원,True
S00286,단순,챗봇,True
S01584,복잡,상담원,False
S00429,단순,챗봇,False
S01510,복잡,상담원,True
S01319,복잡,상담원,False
S00670,단순,챗봇,True
S00032,단순,챗봇,True
S00941,단순,상담원,True
S00723,단순,챗봇,True
S00995,단순,상담원,True
S00215,단순,챗봇,True
S00814,단순,챗봇,True
S00327,단순,챗봇,True
S00561,단순,챗봇,False
S01113,복잡,상담원,True
S00701,단순,챗봇,True
S01579,복잡,상담원,False
S01190,복잡,상담원,True
S00342,단순,챗봇,True
S00630,단순,챗봇,True
S00148,단순,챗봇,True
S01310,복잡,상담원,False
S00361,단순,챗봇,True
S00084,단순,챗봇,True
S00049,단순,챗봇,True
S00469,단순,챗봇,True
S00156,단순,챗봇,True
S00773,단순,챗봇,True
S01240,복잡,상담원,False
S01201,복잡,상담원,False
S01403,복잡,상담원,True
S01203,복잡,상담원,False
S01631,복잡,상담원,True
S00501,단순,챗봇,False
S01765,복잡,상담원,False
S00180,단순,챗봇,True
S01048,복잡,챗봇,True
S01756,복잡,상담원,False
S00951,단순,상담원,True
S01317,복잡,상담원,True
S01620,복잡,상담원,False
S00529,단순,챗봇,True
S00347,단순,챗봇,True
S01388,복잡,상담원,False
S01961,복잡,상담원,False
S01051,복잡,챗봇,False
S01973,복잡,상담원,True
S01442,복잡,상담원,False
S00602,단순,챗봇,True
S01282,복잡,상담원,False
S00244,단순,챗봇,True
S01337,복잡,상담원,True
S01068,복잡,챗봇,False
S01476,복잡,상담원,False
S00313,단순,챗봇,True
S00436,단순,챗봇,True
S01899,복잡,상담원,False
S01329,복잡,상담원,True
S00309,단순,챗봇,True
S00431,단순,챗봇,True
S00661,단순,챗봇,True
S00371,단순,챗봇,True
S00567,단순,챗봇,True
S00980,단순,상담원,True
S00182,단순,챗봇,True
S01363,복잡,상담원,True
S00622,단순,챗봇,True
S00819,단순,챗봇,True
S01193,복잡,상담원,False
S00953,단순,상담원,True
S01422,복잡,상담원,False
S01841,복잡,상담원,False
S00923,단순,상담원,True
S01074,복잡,챗봇,False
S00297,단순,챗봇,True
S00967,단순,상담원,True
S00462,단순,챗봇,True
S01303,복잡,상담원,False
S01177,복잡,상담원,False
S00378,단순,챗봇,True
S00799,단순,챗봇,True
S01103,복잡,상담원,False
S00106,단순,챗봇,True
S00127,단순,챗봇,True
S01996,복잡,상담원,False
S00839,단순,챗봇,True
S00356,단순,챗봇,True
S01617,복잡,상담원,False
S00683,단순,챗봇,True
S00813,단순,챗봇,True
S01681,복잡,상담원,True
S00210,단순,챗봇,True
S01493,복잡,상담원,False
S00141,단순,챗봇,True
S01975,복잡,상담원,True
S01340,복잡,상담원,True
S01798,복잡,상담원,False
S01575,복잡,상담원,False
S01182,복잡,상담원,True
S01394,복잡,상담원,False
S01816,복잡,상담원,False
S00712,단순,챗봇,True
S01794,복잡,상담원,False
S00893,단순,챗봇,False
S00860,단순,챗봇,True
S00011,단순,챗봇,True
S01695,복잡,상담원,False
S01428,복잡,상담원,True
S00283,단순,챗봇,True
S00811,단순,챗봇,True
S01342,복잡,상담원,False
S00292,단순,챗봇,True
S00755,단순,챗봇,True
S00627,단순,챗봇,False
S00944,단순,상담원,True
S00862,단순,챗봇,True
S00130,단순,챗봇,True
S01176,복잡,상담원,False
S00324,단순,챗봇,True
S01091,복잡,챗봇,True
S00844,단순,챗봇,True
S00964,단순,상담원,True
S01865,복잡,상담원,False
S00866,단순,챗봇,True
S00922,단순,상담원,False
S00696,단순,챗봇,True
S00216,단순,챗봇,True
S01781,복잡,상담원,False
S01262,복잡,상담원,False
S00159,단순,챗봇,True
S01059,복잡,챗봇,False
S00989,단순,상담원,True
S00842,단순,챗봇,True
S00635,단순,챗봇,True
S00517,단순,챗봇,True
S01429,복잡,상담원,True
S01748,복잡,상담원,False
S00598,단순,챗봇,False
S00196,단순,챗봇,True
S01784,복잡,상담원,False
S00870,단순,챗봇,True
S00411,단순,챗봇,True
S00097,단순,챗봇,False
S01001,복잡,챗봇,False
S01506,복잡,상담원,False
S00157,단순,챗봇,True
S00420,단순,챗봇,True
S01803,복잡,상담원,False
S00478,단순,챗봇,True
S01856,복잡,상담원,True
S00669,단순,챗봇,True
S01418,복잡,상담원,False
S01872,복잡,상담원,False
S01300,복잡,상담원,False
S00448,단순,챗봇,True
S00554,단순,챗봇,True
S00179,단순,챗봇,True
S00391,단순,챗봇,True
S00579,단순,챗봇,True
S01478,복잡,상담원,False
S01707,복잡,상담원,True
S01288,복잡,상담원,True
S01645,복잡,상담원,False
S01024,복잡,챗봇,False
S00821,단순,챗봇,True
S01825,복잡,상담원,False
S00985,단순,상담원,True
S01339,복잡,상담원,False
S00665,단순,챗봇,True
S00143,단순,챗봇,True
S01517,복잡,상담원,True
S01430,복잡,상담원,False
S00865,단순,챗봇,True
S00422,단순,챗봇,True
S00637,단순,챗봇,True
S01407,복잡,상담원,True
S00800,단순,챗봇,True
S01404,복잡,상담원,True
S00616,단순,챗봇,True
S00295,단순,챗봇,False
S00924,단순,상담원,True
S01269,복잡,상담원,False
S01903,복잡,상담원,False
S00089,단순,챗봇,True
S00042,단순,챗봇,True
S01802,복잡,상담원,False
S01934,복잡,상담원,False
S00132,단순,챗봇,True
S01002,복잡,챗봇,False
S01158,복잡,상담원,True
S01095,복잡,챗봇,False
S01855,복잡,상담원,False
S01345,복잡,상담원,False
S01499,복잡,상담원,False
S00165,단순,챗봇,True
S00725,단순,챗봇,False
S00291,단순,챗봇,True
S01209,복잡,상담원,True
S01589,복잡,상담원,False
S01897,복잡,상담원,False
S01642,복잡,상담원,True
S01362,복잡,상담원,True
S00779,단순,챗봇,True
S00840,단순,챗봇,False
S00349,단순,챗봇,False
S01945,복잡,상담원,True
S00572,단순,챗봇,True
S00918,단순,상담원,True
S00977,단순,상담원,True
S01914,복잡,상담원,True
S01469,복잡,상담원,False
S01592,복잡,상담원,False
S01318,복잡,상담원,False
S01845,복잡,상담원,False
S00137,단순,챗봇,True
S00459,단순,챗봇,True
S00376,단순,챗봇,True
S01343,복잡,상담원,True
S00334,단순,챗봇,False
S01160,복잡,상담원,True
S01761,복잡,상담원,True
S01458,복잡,상담원,True
S00817,단순,챗봇,True
S01115,복잡,상담원,True
S01006,복잡,챗봇,False
S01857,복잡,상담원,False
S01955,복잡,상담원,False
S01851,복잡,상담원,True
S00911,단순,상담원,True
S01930,복잡,상담원,False
S01126,복잡,상담원,False
S00329,단순,챗봇,True
S01248,복잡,상담원,True
S00319,단순,챗봇,True
S01690,복잡,상담원,False
S01359,복잡,상담원,True
S01733,복잡,상담원,False
S00168,단순,챗봇,True
S00013,단순,챗봇,True
S01927,복잡,상담원,True
S00172,단순,챗봇,True
S00650,단순,챗봇,True
S01062,복잡,챗봇,True
S00261,단순,챗봇,True
S01367,복잡,상담원,False
S01549,복잡,상담원,True
S00902,단순,상담원,True
S00673,단순,챗봇,True
S00259,단순,챗봇,True
S00845,단순,챗봇,True
S00868,단순,챗봇,True
S01800,복잡,상담원,False
S00139,단순,챗봇,False
S00894,단순,챗봇,False
S01838,복잡,상담원,False
S00550,단순,챗봇,True
S00320,단순,챗봇,True
S01527,복잡,상담원,False
S01806,복잡,상담원,False
S01178,복잡,상담원,False
S00559,단순,챗봇,True
S00140,단순,챗봇,True
S01735,복잡,상담원,False
S00532,단순,챗봇,True
S00225,단순,챗봇,True
S00724,단순,챗봇,True
S00787,단순,챗봇,True
S01718,복잡,상담원,False
S01008,복잡,챗봇,False
S00410,단순,챗봇,False
S00326,단순,챗봇,True
S01766,복잡,상담원,False
S00300,단순,챗봇,True
S01263,복잡,상담원,False
S01946,복잡,상담원,True
S00026,단순,챗봇,False
S01859,복잡,상담원,False
S00715,단순,챗봇,True
